Category,category_id,Subcategory,subcategory_id,amount,time
議会費,100,議会費,101,865468000,2013
総務費,200,総務費,201,16682923000,2013
民生費,300,民生費,301,60624325000,2013
衛生費,400,衛生費,401,16363487000,2013
労働費,500,労働費,501,103182000,2013
農林水産業費,600,農林水産業費,601,314585000,2013
商工費,700,商工費,701,545674000,2013
土木費,800,土木費,801,11586535000,2013
消防費,900,消防費,901,5996142000,2013
教育費,1000,教育費,1001,15791888000,2013
災害復旧費,1100,災害復旧費,1101,691481000,2013
公債費,1200,公債費,1201,10394459000,2013
諸支出金,1300,諸支出金,1301,1501000,2013
予備費,1400,予備費,1401,165343000,2013
